rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
GRCh38-DGCR6L	0	0.25	0.187	0.011	0	10	GRCh38-DGCR6L	DGCR6L	GRCh38
GRCh38-TIMP1.1	0	0.54	0.353	0.042	0	10	GRCh38-TIMP1	TIMP1	GRCh38
GRCh38-GADD45G.1	0	0.37	0.311	0.032	0	10	GRCh38-GADD45G	GADD45G	GRCh38
GRCh38-IGF1R.1	0	0.27	0.215	0.015	0	10	GRCh38-IGF1R	IGF1R	GRCh38
GRCh38-CCDC167	0	0.26	0.193	0.012	0	10	GRCh38-CCDC167	CCDC167	GRCh38
GRCh38-DNAJA4.2	0	0.28	0.414	0.056	0	10	GRCh38-DNAJA4	DNAJA4	GRCh38
Ssus11-COX3.9	0	-2.25	1	1	0	10	Ssus11-COX3	COX3	Suss11
GRCh38-HUWE1	0	0.26	0.211	0.014	0	10	GRCh38-HUWE1	HUWE1	GRCh38
GRCh38-CIB2	0	0.26	0.193	0.012	0	10	GRCh38-CIB2	CIB2	GRCh38
GRCh38-POPDC3.1	0	0.26	0.199	0.013	0	10	GRCh38-POPDC3	POPDC3	GRCh38
GRCh38-RAMP1.1	0	0.28	0.215	0.015	0	10	GRCh38-RAMP1	RAMP1	GRCh38
GRCh38-FKBP4.1	0	0.35	0.378	0.048	0	10	GRCh38-FKBP4	FKBP4	GRCh38
GRCh38-TRA2B.1	0	0.29	0.221	0.017	0	10	GRCh38-TRA2B	TRA2B	GRCh38
GRCh38-SSH2.1	0	0.35	0.29	0.03	0	10	GRCh38-SSH2	SSH2	GRCh38
GRCh38-RAB21.1	0	0.3	0.248	0.021	0	10	GRCh38-RAB21	RAB21	GRCh38
GRCh38-RSRC2.1	0	0.27	0.193	0.013	0	10	GRCh38-RSRC2	RSRC2	GRCh38
GRCh38-SUGT1.1	0	0.29	0.23	0.018	0	10	GRCh38-SUGT1	SUGT1	GRCh38
GRCh38-TMEM132A	0	0.25	0.184	0.011	0	10	GRCh38-TMEM132A	TMEM132A	GRCh38
GRCh38-S100A11.1	0	0.35	0.254	0.023	0	10	GRCh38-S100A11	S100A11	GRCh38
GRCh38-ZNF358.1	0	0.25	0.19	0.012	0	10	GRCh38-ZNF358	ZNF358	GRCh38
GRCh38-SAT1.1	0	0.27	0.19	0.013	0	10	GRCh38-SAT1	SAT1	GRCh38
GRCh38-COL1A1.8	0	0.92	0.607	0.141	0	10	GRCh38-COL1A1	COL1A1	GRCh38
GRCh38-HSPA4.1	0	0.34	0.305	0.035	0	10	GRCh38-HSPA4	HSPA4	GRCh38
GRCh38-TCEAL9.1	0	0.3	0.254	0.024	0	10	GRCh38-TCEAL9	TCEAL9	GRCh38
Ssus11-COX1.9	0	-2.6	0.994	1	0	10	Ssus11-COX1	COX1	Suss11
GRCh38-COPA.1	0	0.27	0.211	0.017	0	10	GRCh38-COPA	COPA	GRCh38
GRCh38-H2AZ1.1	0	0.82	0.595	0.148	0	10	GRCh38-H2AZ1	H2AZ1	GRCh38
GRCh38-ARID1A	0	0.39	0.332	0.046	0	10	GRCh38-ARID1A	ARID1A	GRCh38
Ssus11-CYTB.10	0	-2.24	0.822	0.992	0	10	Ssus11-CYTB	CYTB	Suss11
GRCh38-PMVK.1	0	0.28	0.224	0.02	0	10	GRCh38-PMVK	PMVK	GRCh38
GRCh38-VMP1.1	0	0.27	0.224	0.02	0	10	GRCh38-VMP1	VMP1	GRCh38
Ssus11-HSPB1.8	0	-1.96	0.647	0.98	0	10	Ssus11-HSPB1	HSPB1	Suss11
Ssus11-GAPDH.7	0	-1.77	0.861	0.991	0	10	Ssus11-GAPDH	GAPDH	Suss11
GRCh38-RANGAP1.1	0	0.31	0.281	0.033	0	10	GRCh38-RANGAP1	RANGAP1	GRCh38
GRCh38-MOB4.1	0	0.27	0.233	0.023	0	10	GRCh38-MOB4	MOB4	GRCh38
Ssus11-RPS12.7	0	-1.09	0.964	0.999	0	10	Ssus11-RPS12	RPS12	Suss11
GRCh38-HBEGF.1	0	0.29	0.221	0.023	0	10	GRCh38-HBEGF	HBEGF	GRCh38
GRCh38-RAD23B	0	0.27	0.221	0.023	0	10	GRCh38-RAD23B	RAD23B	GRCh38
Ssus11-COX2.10	0	-1.99	0.994	1	0	10	Ssus11-COX2	COX2	Suss11
GRCh38-TAF7.1	0	0.26	0.208	0.021	0	10	GRCh38-TAF7	TAF7	GRCh38
Ssus11-ATP6.9	0	-2.15	0.97	0.999	0	10	Ssus11-ATP6	ATP6	Suss11
Ssus11-TPM1.10	0	-1.95	0.568	0.929	0	10	Ssus11-TPM1	TPM1	Suss11
Ssus11-ND4.9	0	-2.4	0.574	0.931	0	10	Ssus11-ND4	ND4	Suss11
GRCh38-GNAI2	0	0.45	0.402	0.08	0	10	GRCh38-GNAI2	GNAI2	GRCh38
GRCh38-DUSP5.1	0	0.26	0.233	0.027	0	10	GRCh38-DUSP5	DUSP5	GRCh38
Ssus11-COX4I1.7	0	-1.28	0.837	0.985	0	10	Ssus11-COX4I1	COX4I1	Suss11
Ssus11-HSP90AA1.8	0	-1.67	0.722	0.971	0	10	Ssus11-HSP90AA1	HSP90AA1	Suss11
GRCh38-DNAJB4.1	0	0.27	0.239	0.029	0	10	GRCh38-DNAJB4	DNAJB4	GRCh38
Ssus11-ENSSSCG00000014540.4	0	-0.97	0.994	1	0	10	Ssus11-ENSSSCG00000014540	ENSSSCG00000014540	Suss11
GRCh38-H3-3B.1	0	0.54	0.489	0.122	0	10	GRCh38-H3-3B	H3-3B	GRCh38
Ssus11-RPS2.5	0	-0.93	0.924	0.997	0	10	Ssus11-RPS2	RPS2	Suss11
Ssus11-ENSSSCG00000000405.9	0	-1.45	0.514	0.892	0	10	Ssus11-ENSSSCG00000000405	ENSSSCG00000000405	Suss11
GRCh38-CELF1.1	0	0.35	0.275	0.042	0	10	GRCh38-CELF1	CELF1	GRCh38
Ssus11-DES.10	0	-2.38	0.323	0.809	0	10	Ssus11-DES	DES	Suss11
GRCh38-COL6A2.1	0	0.38	0.242	0.034	0	10	GRCh38-COL6A2	COL6A2	GRCh38
Ssus11-CLU.8	0	-1.27	0.42	0.91	0	10	Ssus11-CLU	CLU	Suss11
GRCh38-KHDRBS1.1	0	0.48	0.447	0.11	0	10	GRCh38-KHDRBS1	KHDRBS1	GRCh38
Ssus11-ENSSSCG00000000576.10	0	-1.69	0.45	0.858	0	10	Ssus11-ENSSSCG00000000576	ENSSSCG00000000576	Suss11
Ssus11-ENSSSCG00000033310.3	0	-0.75	1	0.999	0	10	Ssus11-ENSSSCG00000033310	ENSSSCG00000033310	Suss11
GRCh38-PAPOLA.1	0	0.5	0.502	0.139	0	10	GRCh38-PAPOLA	PAPOLA	GRCh38
Ssus11-ATP5F1A.9	0	-1.29	0.372	0.804	0	10	Ssus11-ATP5F1A	ATP5F1A	Suss11
Ssus11-COX7C.8	0	-1.41	0.731	0.954	0	10	Ssus11-COX7C	COX7C	Suss11
Ssus11-MYL9.5	0	-1.13	0.489	0.882	0	10	Ssus11-MYL9	MYL9	Suss11
Ssus11-CRYAB.8	0	-2.52	0.338	0.779	0	10	Ssus11-CRYAB	CRYAB	Suss11
Ssus11-RPLP0.3	0	-0.79	0.955	0.996	0	10	Ssus11-RPLP0	RPLP0	Suss11
GRCh38-PTEN	0	0.39	0.375	0.083	0	10	GRCh38-PTEN	PTEN	GRCh38
Ssus11-ATP5ME.10	0	-1.3	0.604	0.905	0	10	Ssus11-ATP5ME	ATP5ME	Suss11
Ssus11-SLC25A3.8	0	-1.28	0.483	0.849	0	10	Ssus11-SLC25A3	SLC25A3	Suss11
Ssus11-ATP5IF1.8	0	-1.18	0.48	0.844	0	10	Ssus11-ATP5IF1	ATP5IF1	Suss11
Ssus11-RPS6.2	0	-0.86	0.816	0.983	0	10	Ssus11-RPS6	RPS6	Suss11
Ssus11-GJA1.8	0	-1.28	0.366	0.79	0	10	Ssus11-GJA1	GJA1	Suss11
Ssus11-ENSSSCG00000013436.10	0	-1.43	0.405	0.814	0	10	Ssus11-ENSSSCG00000013436	ENSSSCG00000013436	Suss11
Ssus11-COX5B.10	0	-1.24	0.544	0.886	0	10	Ssus11-COX5B	COX5B	Suss11
Ssus11-ATP5MC1.10	0	-1.28	0.417	0.821	0	10	Ssus11-ATP5MC1	ATP5MC1	Suss11
Ssus11-NME2.5	0	-0.93	0.74	0.958	0	10	Ssus11-NME2	NME2	Suss11
Ssus11-UBB.5	0	-0.81	0.937	0.995	0	10	Ssus11-UBB	UBB	Suss11
Ssus11-TPT1.1	0	-0.77	0.979	0.999	0	10	Ssus11-TPT1	TPT1	Suss11
Ssus11-ENSSSCG00000039544.2	0	-0.83	0.834	0.987	0	10	Ssus11-ENSSSCG00000039544	ENSSSCG00000039544	Suss11
Ssus11-RPS27A.2	0	-0.7	0.976	0.998	0	10	Ssus11-RPS27A	RPS27A	Suss11
GRCh38-TEAD1.1	0	0.4	0.438	0.118	0	10	GRCh38-TEAD1	TEAD1	GRCh38
GRCh38-TBL1XR1	0	0.3	0.296	0.058	0	10	GRCh38-TBL1XR1	TBL1XR1	GRCh38
GRCh38-MTPN	0	0.42	0.384	0.095	0	10	GRCh38-MTPN	MTPN	GRCh38
Ssus11-RPS7.4	0	-0.71	0.967	0.996	0	10	Ssus11-RPS7	RPS7	Suss11
Ssus11-ATP5PF.8	0	-0.99	0.565	0.884	0	10	Ssus11-ATP5PF	ATP5PF	Suss11
Ssus11-RPL37A.4	0	-0.75	0.958	0.996	0	10	Ssus11-RPL37A	RPL37A	Suss11
Ssus11-ENSSSCG00000029830.5	0	-0.77	0.909	0.993	0	10	Ssus11-ENSSSCG00000029830	ENSSSCG00000029830	Suss11
Ssus11-ENSSSCG00000012427.1	0	-0.74	0.888	0.989	0	10	Ssus11-ENSSSCG00000012427	ENSSSCG00000012427	Suss11
Ssus11-NDUFA4.9	0	-1.77	0.311	0.729	0	10	Ssus11-NDUFA4	NDUFA4	Suss11
Ssus11-COX5A.9	0	-1.17	0.296	0.724	0	10	Ssus11-COX5A	COX5A	Suss11
Ssus11-ENSSSCG00000003903.8	0	-1.14	0.42	0.786	0	10	Ssus11-ENSSSCG00000003903	ENSSSCG00000003903	Suss11
Ssus11-HSPA8.8	0	-1.06	0.761	0.954	0	10	Ssus11-HSPA8	HSPA8	Suss11
Ssus11-RPL24.3	0	-0.73	0.906	0.991	0	10	Ssus11-RPL24	RPL24	Suss11
Ssus11-EEF1G.2	0	-0.75	0.795	0.978	0	10	Ssus11-EEF1G	EEF1G	Suss11
Ssus11-ENSSSCG00000013906.4	0	-0.68	0.976	0.997	0	10	Ssus11-ENSSSCG00000013906	ENSSSCG00000013906	Suss11
Ssus11-RPL18.5	0	-0.75	0.918	0.993	0	10	Ssus11-RPL18	RPL18	Suss11
Ssus11-ENSSSCG00000032129.10	0	-1.21	0.411	0.787	0	10	Ssus11-ENSSSCG00000032129	ENSSSCG00000032129	Suss11
Ssus11-ENSSSCG00000013889.7	0	-0.79	0.903	0.99	0	10	Ssus11-ENSSSCG00000013889	ENSSSCG00000013889	Suss11
Ssus11-RPLP2.6	0	-0.75	0.931	0.995	0	10	Ssus11-RPLP2	RPLP2	Suss11
Ssus11-ENSSSCG00000034019.8	0	-1.09	0.586	0.878	0	10	Ssus11-ENSSSCG00000034019	ENSSSCG00000034019	Suss11
Ssus11-RPL22.2	0	-0.76	0.873	0.983	0	10	Ssus11-RPL22	RPL22	Suss11
Ssus11-ENSSSCG00000002907.8	0	-1.14	0.408	0.782	0	10	Ssus11-ENSSSCG00000002907	ENSSSCG00000002907	Suss11
GRCh38-ZNF207	0	0.39	0.411	0.114	0	10	GRCh38-ZNF207	ZNF207	GRCh38
Ssus11-TPM2.3	0	-1	0.42	0.827	0	10	Ssus11-TPM2	TPM2	Suss11
Ssus11-SERPINH1.5	0	-1.04	0.776	0.961	0	10	Ssus11-SERPINH1	SERPINH1	Suss11
Ssus11-ENSSSCG00000001930.6	0	-0.91	0.535	0.845	0	10	Ssus11-ENSSSCG00000001930	ENSSSCG00000001930	Suss11
Ssus11-YBX1.6	0	-1.06	0.483	0.832	0	10	Ssus11-YBX1	YBX1	Suss11
Ssus11-RPS21.3	0	-0.7	0.94	0.996	0	10	Ssus11-RPS21	RPS21	Suss11
Ssus11-RPS8.4	0	-0.66	0.991	0.998	0	10	Ssus11-RPS8	RPS8	Suss11
Ssus11-ENSSSCG00000014569.3	0	-0.71	0.964	0.996	0	10	Ssus11-ENSSSCG00000014569	ENSSSCG00000014569	Suss11
Ssus11-IDH2.7	0	-0.97	0.284	0.704	0	10	Ssus11-IDH2	IDH2	Suss11
Ssus11-ND3.8	0	-1.37	0.417	0.798	0	10	Ssus11-ND3	ND3	Suss11
